phase_combined,theta_t_combined,theta_t_combined_fit,phase_natural,theta_t_Natural,theta_t_Natural_fit,phase_induced,theta_t_induced,theta_t_induced_fit
-0.069115038,-34.858883,-34.03443147,0.256178031,-12.649438,-10.066084,4.944866837,-2.577909,-1.865972
-0.065973446,-33.991473,-34.06468049,0.260739624,-12.555691,-10.054984,4.969999578,-2.801958,-2.038575
-0.062831853,-33.066519,-34.09349546,0.265301216,-12.60416,-10.043674,4.995132319,-3.059944,-2.209891
-0.05969026,-32.170421,-34.12087149,0.269862809,-12.296325,-10.032156,5.02026506,-3.270086,-2.379812
-0.056548668,-31.321374,-34.14680379,0.274424401,-11.718128,-10.020429,5.045397802,-3.403855,-2.54823
-0.053407075,-30.621021,-34.1712877,0.278982852,-11.332299,-10.008493,5.070530543,-3.513465,-2.715039
-0.050265482,-30.123159,-34.19431866,0.283544445,-11.047205,-9.99635,5.095663284,-2.477089,-2.880134
-0.04712389,-27.642994,-34.21589222,0.288106037,-10.914316,-9.983998,5.120796025,-1.697851,-3.04341
-0.043982297,-27.490734,-34.23600406,0.29266763,-10.93562,-9.971438,5.145928767,-1.965308,-3.204764
-0.040840704,-27.476091,-34.25464996,0.297229223,-11.086522,-9.958671,5.171061508,-2.11872,-3.364094
-0.037699112,-29.742244,-34.27182583,0.301787673,-11.213002,-9.945697,5.196194249,-2.22631,-3.5213
-0.034557519,-30.178497,-34.28752768,0.306349266,-11.383421,-9.932516,5.22132699,-1.398505,-3.676283
-0.031415927,-30.519762,-34.30175165,0.310910859,-11.546578,-9.919128,5.246459731,-1.581969,-3.828944
-0.028274334,-30.836112,-34.31449398,0.315472451,-11.769644,-9.905534,5.271592473,-1.894234,-3.979187
-0.025132741,-31.091053,-34.32575104,0.320034044,-11.911393,-9.891733,5.296725214,-2.25993,-4.126918
-0.021991149,-31.226999,-34.33551931,0.324592495,-11.946278,-9.877727,5.321857955,-2.725791,-4.272043
-0.018849556,-31.434365,-34.34379539,0.329154087,-11.926992,-9.863515,5.346990696,-3.215333,-4.41447
-0.015707963,-31.44572,-34.35057601,0.33371568,-11.82909,-9.849098,5.372123438,-3.677184,-4.554109
-0.012566371,-31.45215,-34.35585799,0.338277272,-11.67883,-9.834476,5.397256179,-3.947319,-4.690873
-0.009424778,-31.477985,-34.35963828,0.342838865,-11.450163,-9.81965,5.42238892,-9.594416,-4.824675
-0.006283185,-31.405737,-34.36191397,0.347397316,-11.227247,-9.804619,5.447521661,-9.932749,-4.95543
-0.003141593,-31.249985,-34.36268224,0.351958908,-11.059019,-9.789384,5.472654403,-10.133215,-5.083056
0,-31.022805,-34.3619404,0.356520501,-10.979335,-9.773946,5.497787144,-10.182891,-5.207472
0.003141593,-30.633366,-34.35968588,0.361082093,-10.989052,-9.758304,5.522919885,-10.177558,-5.3286
0.006283185,-30.343652,-34.35591623,0.365643686,-11.077728,-9.742459,5.548052626,-10.084759,-5.446364
0.009424778,-30.078208,-34.35062911,0.370202137,-11.265193,-9.726411,5.573185367,-4.669937,-5.560688
0.012566371,-29.867393,-34.34382232,0.374763729,-11.52332,-9.710161,5.598318109,-4.610776,-5.6715
0.015707963,-29.682673,-34.33549377,0.379325322,-11.730675,-9.693709,5.62345085,-4.466176,-5.778732
0.018849556,-29.618672,-34.32564149,0.383886914,-11.986424,-9.677055,5.648583591,-4.338118,-5.882314
